step,denied_requests,total_nodes_traversed,total_fragments
870,185,4391,2592
871,186,4391,2595
872,186,4391,2598
873,186,4403,2601
874,186,4403,2604
875,186,4414,2607
876,186,4414,2609
877,186,4414,2611
878,186,4426,2613
879,187,4426,2615
880,187,4426,2617
881,187,4426,2619
882,187,4439,2621
883,188,4439,2623
884,188,4439,2625
885,189,4439,2627
886,189,4439,2629
887,189,4449,2631
888,189,4449,2633
889,189,4452,2635
890,189,4457,2637
891,190,4457,2639
892,190,4471,2641
893,190,4471,2643
894,190,4471,2645
895,190,4488,2647
896,190,4510,2649
897,190,4510,2651
898,190,4510,2653
899,190,4510,2655
900,190,4510,2657
901,190,4510,2659
902,190,4522,2661
903,190,4531,2664
904,190,4553,2667
905,190,4553,2670
906,190,4555,2673
907,190,4555,2675
908,190,4555,2677
909,190,4555,2679
910,190,4555,2680
911,190,4555,2681
912,190,4555,2682
913,190,4572,2684
914,190,4572,2686
915,190,4578,2688
916,190,4591,2690
917,190,4591,2691
918,190,4602,2692
919,190,4602,2693
920,190,4616,2695
921,190,4623,2697
922,190,4641,2700
923,190,4641,2703
924,190,4641,2706
925,190,4641,2708
926,190,4652,2710
927,190,4661,2712
928,190,4661,2714
929,190,4665,2717
930,190,4665,2720
931,190,4677,2723
932,190,4677,2726
933,190,4679,2729
934,190,4682,2732
935,190,4686,2735
936,190,4691,2738
937,190,4691,2740
938,190,4699,2742
939,190,4705,2744
940,191,4705,2746
941,191,4705,2747
942,191,4705,2748
943,191,4719,2749
944,191,4728,2751
945,191,4728,2753
946,191,4728,2754
947,192,4728,2755
948,192,4746,2756
949,193,4746,2757
950,194,4746,2758
951,195,4746,2759
952,195,4752,2760
953,195,4768,2762
954,196,4768,2764
955,197,4768,2766
956,198,4768,2768
957,198,4768,2769
958,198,4768,2770
959,198,4778,2772
960,198,4778,2773
961,198,4791,2774
962,198,4791,2775
963,198,4800,2776
964,199,4800,2777
965,199,4800,2777
966,199,4800,2777
967,199,4800,2777
968,199,4814,2777
969,199,4831,2777
970,200,4831,2777
